trade_dt,fs_info_type,positions,num_cont
20160707,2,35182.0,2.0
20160707,3,33330.0,2.0
20160708,2,35262.0,2.0
20160708,3,33641.0,2.0
20160711,2,34931.0,2.0
20160711,3,32801.0,2.0
20160712,2,34453.0,2.0
20160712,3,32125.0,2.0
20160713,2,34970.0,2.0
20160713,3,32849.0,2.0
20160714,2,35156.0,2.0
20160714,3,33266.0,2.0
20160715,2,35748.0,2.0
20160715,3,34768.0,2.0
20160718,2,35879.0,2.0
20160718,3,34410.0,2.0
20160719,2,35678.0,2.0
20160719,3,34338.0,2.0
20160720,2,37814.0,2.0
20160720,3,36947.0,2.0
20160721,2,37531.0,2.0
20160721,3,36580.0,2.0
20160722,2,37871.0,2.0
20160722,3,36924.0,2.0
20160725,2,38183.0,2.0
20160725,3,36380.0,2.0
20160726,2,38456.0,2.0
20160726,3,38267.0,2.0
20160727,2,38806.0,2.0
20160727,3,37828.0,2.0
20160728,2,39583.0,2.0
20160728,3,39149.0,2.0
20160729,2,39801.0,2.0
20160729,3,39117.0,2.0
20160801,2,40099.0,2.0
20160801,3,38628.0,2.0
20160802,2,41425.0,2.0
20160802,3,40211.0,2.0
20160803,2,41430.0,2.0
20160803,3,39860.0,2.0
20160804,2,41568.0,2.0
20160804,3,39925.0,2.0
20160805,2,41351.0,2.0
20160805,3,39666.0,2.0
20160808,2,39733.0,2.0
20160808,3,38445.0,2.0
20160809,2,39885.0,2.0
20160809,3,38874.0,2.0
20160810,2,39203.0,2.0
20160810,3,37839.0,2.0
20160811,2,39053.0,2.0
20160811,3,37766.0,2.0
20160812,2,38413.0,2.0
20160812,3,37557.0,2.0
20160815,2,36843.0,2.0
20160815,3,36198.0,2.0
20160816,2,36199.0,2.0
20160816,3,35802.0,2.0
20160817,2,35238.0,2.0
20160817,3,34790.0,2.0
20160818,2,34955.0,2.0
20160818,3,33365.0,2.0
20160819,2,33481.0,2.0
20160819,3,31858.0,2.0
20160822,2,32686.0,2.0
20160822,3,31708.0,2.0
20160823,2,33231.0,2.0
20160823,3,31537.0,2.0
20160824,2,32744.0,2.0
20160824,3,30398.0,2.0
20160825,2,31733.0,2.0
20160825,3,30314.0,2.0
20160826,2,31227.0,2.0
20160826,3,30248.0,2.0
20160829,2,31759.0,2.0
20160829,3,30010.0,2.0
20160830,2,33357.0,2.0
20160830,3,31750.0,2.0
20160831,2,32526.0,2.0
20160831,3,30758.0,2.0
20160901,2,32011.0,2.0
20160901,3,30555.0,2.0
20160902,2,32217.0,2.0
20160902,3,30777.0,2.0
20160905,2,32155.0,2.0
20160905,3,30683.0,2.0
20160906,2,32145.0,2.0
20160906,3,31018.0,2.0
20160907,2,31823.0,2.0
20160907,3,31176.0,2.0
20160908,2,32149.0,2.0
20160908,3,31940.0,2.0
20160909,2,31586.0,2.0
20160909,3,31951.0,2.0
20160912,2,31266.0,1.0
20160912,3,30964.0,1.0
20160913,2,31642.0,1.0
20160913,3,30546.0,1.0
20160914,2,31584.0,1.0
20160914,3,30649.0,1.0
20160919,2,31793.0,1.0
20160919,3,30861.0,1.0
20160920,2,31848.0,1.0
20160920,3,30603.0,1.0
20160921,2,32222.0,1.0
20160921,3,30887.0,1.0
20160922,2,33372.0,1.0
20160922,3,32632.0,1.0
20160923,2,33398.0,1.0
20160923,3,32829.0,1.0
20160926,2,33852.0,1.0
20160926,3,33006.0,1.0
20160927,2,33576.0,1.0
20160927,3,32467.0,1.0
20160928,2,33732.0,1.0
20160928,3,33070.0,1.0
20160929,2,33402.0,1.0
20160929,3,32691.0,1.0
20160930,2,32851.0,1.0
20160930,3,32345.0,1.0
20161010,2,33365.0,1.0
20161010,3,32991.0,1.0
20161011,2,34052.0,1.0
20161011,3,33308.0,1.0
20161012,2,34700.0,1.0
20161012,3,34029.0,1.0
20161013,2,34712.0,1.0
20161013,3,34496.0,1.0
20161014,2,34738.0,1.0
20161014,3,34992.0,1.0
20161017,2,34551.0,1.0
20161017,3,35137.0,1.0
20161018,2,34957.0,1.0
20161018,3,35340.0,1.0
20161019,2,34943.0,1.0
20161019,3,35204.0,1.0
20161020,2,34520.0,1.0
20161020,3,34059.0,1.0
20161021,2,35386.0,1.0
20161021,3,34286.0,1.0
20161024,2,35322.0,1.0
20161024,3,33739.0,1.0
20161025,2,43685.0,2.0
20161025,3,42571.0,2.0
20161026,2,42810.0,2.0
20161026,3,41208.0,2.0
20161027,2,43974.0,2.0
20161027,3,43111.0,2.0
20161028,2,44455.0,2.0
20161028,3,43524.0,2.0
20161031,2,44599.0,2.0
20161031,3,44023.0,2.0
20161101,2,44272.0,2.0
20161101,3,43687.0,2.0
20161102,2,44799.0,2.0
20161102,3,44288.0,2.0
20161103,2,43802.0,2.0
20161103,3,43327.0,2.0
20161104,2,43359.0,2.0
20161104,3,42278.0,2.0
20161107,2,42895.0,2.0
20161107,3,41933.0,2.0
20161108,2,43055.0,2.0
20161108,3,41526.0,2.0
20161109,2,41753.0,2.0
20161109,3,41173.0,2.0
20161110,2,42052.0,2.0
20161110,3,40508.0,2.0
20161111,2,42518.0,2.0
20161111,3,40061.0,2.0
20161114,2,43985.0,2.0
20161114,3,40294.0,2.0
20161115,2,43762.0,2.0
20161115,3,41129.0,2.0
20161116,2,43398.0,2.0
20161116,3,40332.0,2.0
20161117,2,44863.0,2.0
20161117,3,40913.0,2.0
20161118,2,45038.0,2.0
20161118,3,41578.0,2.0
20161121,2,44783.0,2.0
20161121,3,41466.0,2.0
20161122,2,44123.0,2.0
20161122,3,41761.0,2.0
20161123,2,43399.0,2.0
20161123,3,40772.0,2.0
20161124,2,43765.0,2.0
20161124,3,41443.0,2.0
20161125,2,44703.0,2.0
20161125,3,41547.0,2.0
20161128,2,45101.0,2.0
20161128,3,42168.0,2.0
20161129,2,45439.0,2.0
20161129,3,43775.0,2.0
20161130,2,45253.0,2.0
20161130,3,44396.0,2.0
20161201,2,45790.0,2.0
20161201,3,44843.0,2.0
20161202,2,43739.0,2.0
20161202,3,42663.0,2.0
20161205,2,44758.0,2.0
20161205,3,42775.0,2.0
20161206,2,42844.0,2.0
20161206,3,40429.0,2.0
20161207,2,41257.0,2.0
20161207,3,39348.0,2.0
20161208,2,41372.0,2.0
20161208,3,39319.0,2.0
20161209,2,41115.0,2.0
20161209,3,38625.0,2.0
20161212,2,41925.0,1.0
20161212,3,38744.0,1.0
20161213,2,52095.0,2.0
20161213,3,51356.0,2.0
20161214,2,52993.0,2.0
20161214,3,52885.0,2.0
20161215,2,51761.0,2.0
20161215,3,55303.0,2.0
20161216,2,51893.0,2.0
20161216,3,55365.0,2.0
20161219,2,51785.0,2.0
20161219,3,56505.0,2.0
20161220,2,54583.0,2.0
20161220,3,61587.0,2.0
20161221,2,47503.0,2.0
20161221,3,51367.0,2.0
20161222,2,47130.0,2.0
20161222,3,48215.0,2.0
20161223,2,48671.0,2.0
20161223,3,49116.0,2.0
20161226,2,48401.0,2.0
20161226,3,49774.0,2.0
20161227,2,48347.0,2.0
20161227,3,49043.0,2.0
20161228,2,50015.0,2.0
20161228,3,51328.0,2.0
20161229,2,49230.0,2.0
20161229,3,49581.0,2.0
20161230,2,50414.0,2.0
20161230,3,50695.0,2.0
20170103,2,50245.0,2.0
20170103,3,50728.0,2.0
20170104,2,52703.0,2.0
20170104,3,52186.0,2.0
20170105,2,54552.0,2.0
20170105,3,53828.0,2.0
20170106,2,53169.0,2.0
20170106,3,52387.0,2.0
20170109,2,52693.0,2.0
20170109,3,52972.0,2.0
20170110,2,51287.0,2.0
20170110,3,51654.0,2.0
20170111,2,52121.0,2.0
20170111,3,51619.0,2.0
20170112,2,52215.0,2.0
20170112,3,51808.0,2.0
20170113,2,51292.0,2.0
20170113,3,50825.0,2.0
20170116,2,53522.0,2.0
20170116,3,52141.0,2.0
20170117,2,54094.0,2.0
20170117,3,53309.0,2.0
20170118,2,55914.0,2.0
20170118,3,54803.0,2.0
20170119,2,55258.0,2.0
20170119,3,54587.0,2.0
20170120,2,53618.0,2.0
20170120,3,52236.0,2.0
20170123,2,52310.0,2.0
20170123,3,51088.0,2.0
20170124,2,53972.0,2.0
20170124,3,51934.0,2.0
20170125,2,56584.0,2.0
20170125,3,55112.0,2.0
20170126,2,57080.0,2.0
20170126,3,55636.0,2.0
20170203,2,59273.0,2.0
20170203,3,57944.0,2.0
20170206,2,59112.0,2.0
20170206,3,57654.0,2.0
20170207,2,57767.0,2.0
20170207,3,56835.0,2.0
20170208,2,56190.0,2.0
20170208,3,54059.0,2.0
20170209,2,54748.0,2.0
20170209,3,53108.0,2.0
20170210,2,53334.0,2.0
20170210,3,51884.0,2.0
20170213,2,51214.0,2.0
